1: P1_INFO:position((-1.96, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
84: P1_INFO:position((0.60, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
85: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
86: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
87: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
88: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
89: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
90: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
91: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
92: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
93: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
94: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
95: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
96: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
97: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
98: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
99: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
100: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(True)
101: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
102: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
103: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
104: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
105: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
106: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
107: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
108: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
109: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
110: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
111: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
112: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
113: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
114: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
115: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
116: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
117: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
118: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:105)isInHitStun(False)
119: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
120: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
121: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
122: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
123: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
124: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
125: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
126: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
127: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
128: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
129: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
130: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
131: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
132: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
133: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
134: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
135: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
136: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
137: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
138: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
139: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
140: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
141: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
142: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
143: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
144: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
145: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
146: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
147: P1_INFO:position((0.57, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
148: P1_INFO:position((0.61, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
149: P1_INFO:position((0.66, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
150: P1_INFO:position((0.70, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
151: P1_INFO:position((0.74, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
152: P1_INFO:position((0.79, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
153: P1_INFO:position((0.83, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
154: P1_INFO:position((0.88, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
155: P1_INFO:position((0.92, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
156: P1_INFO:position((0.96, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
157: P1_INFO:position((1.01, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
158: P1_INFO:position((1.05, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
159: P1_INFO:position((1.10, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
160: P1_INFO:position((1.14, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
161: P1_INFO:position((1.18, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
162: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
163: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
164: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
165: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
166: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
167: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
168: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
169: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
170: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
171: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
172: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
173: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
174: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
175: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
176: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
177: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
178: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
179: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
180: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
181: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
182: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
183: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
184: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
185: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
186: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
187: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
188: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
189: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
190: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
191: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
192: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
193: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
194: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
195: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
196: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
197: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
198: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
199: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
200: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
201: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
202: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
203: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
204: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
205: P1_INFO:position((1.23, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
206: P1_INFO:position((1.27, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
207: P1_INFO:position((1.32, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
208: P1_INFO:position((1.36, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
209: P1_INFO:position((1.40, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
210: P1_INFO:position((1.43, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
211: P1_INFO:position((1.46, 0.00))guardHealth(3)currentAction:115)isInHitStun(False)
212: P1_INFO:position((1.49, 0.00))guardHealth(3)currentAction:115)isInHitStun(False)
213: P1_INFO:position((1.52, 0.00))guardHealth(3)currentAction:115)isInHitStun(False)
