1: P1_INFO:currentInput(Footsies.InputData)position(-1.90, 0.00)velocity_x(5)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(0)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
12: P1_INFO:currentInput(Footsies.InputData)position(-0.56, 0.00)velocity_x(5)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(11)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
13: P1_INFO:currentInput(Footsies.InputData)position(-0.52, 0.00)velocity_x(2)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(12)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
14: P1_INFO:currentInput(Footsies.InputData)position(-0.48, 0.00)velocity_x(2)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(13)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
15: P1_INFO:currentInput(Footsies.InputData)position(-0.46, 0.00)velocity_x(1)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(14)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
16: P1_INFO:currentInput(Footsies.InputData)position(-0.46, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(15)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
17: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(1)currentActionFrame(0)currentActionFrameCount(24)isAlwaysCancelable(True)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)isAlwaysCancelable(True)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
18: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(0)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
19: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(1)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
20: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(2)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
21: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(3)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
22: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(4)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
23: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(5)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
24: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(6)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
25: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(7)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
26: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(8)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
27: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(9)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
28: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(10)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
29: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(11)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
30: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(12)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
31: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(13)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
32: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(14)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
33: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(15)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
34: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(16)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
35: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(17)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
36: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(18)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
37: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(19)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
38: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(20)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
39: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(0)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
40: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(1)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
41: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(2)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
42: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(3)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
43: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(4)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
44: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(5)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
45: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(6)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
46: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(7)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
47: P1_INFO:currentInput(Footsies.InputData)position(-0.42, 0.00)velocity_x(0)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(105)currentActionFrame(8)currentActionFrameCount(21)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
