1: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
34: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
35: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
36: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
37: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
38: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
39: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
40: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
41: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
42: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
43: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
44: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
45: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
46: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
47: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
48: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
49: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
50: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
51: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
52: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
53: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
54: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
55: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
56: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
57: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
58: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
59: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
60: P1_INFO:position((-2.02, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
61: P1_INFO:position((-2.04, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
62: P1_INFO:position((-2.06, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
63: P1_INFO:position((-2.09, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
64: P1_INFO:position((-2.11, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
65: P1_INFO:position((-2.13, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
66: P1_INFO:position((-2.15, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
67: P1_INFO:position((-2.17, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
68: P1_INFO:position((-2.20, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
69: P1_INFO:position((-2.22, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
70: P1_INFO:position((-2.24, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
71: P1_INFO:position((-2.26, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
72: P1_INFO:position((-2.28, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
73: P1_INFO:position((-2.31, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
74: P1_INFO:position((-2.33, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
75: P1_INFO:position((-2.35, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
76: P1_INFO:position((-2.37, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
77: P1_INFO:position((-2.39, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
78: P1_INFO:position((-2.42, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
79: P1_INFO:position((-2.45, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
80: P1_INFO:position((-2.48, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
81: P1_INFO:position((-2.51, 0.00))guardHealth(2)dead(True)currentAction:500)isInHitStun(False)
