1: P1_INFO:position((-2.00, 0.00))guardHealth(3)dead(False)currentAction:0)isInHitStun(False)
34: P1_INFO:position((0.16, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
35: P1_INFO:position((0.20, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
36: P1_INFO:position((0.24, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
37: P1_INFO:position((0.29, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
38: P1_INFO:position((0.33, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
39: P1_INFO:position((0.38, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
40: P1_INFO:position((0.42, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
41: P1_INFO:position((0.46, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
42: P1_INFO:position((0.51, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
43: P1_INFO:position((0.55, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
44: P1_INFO:position((0.60, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
45: P1_INFO:position((0.62, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
46: P1_INFO:position((0.64, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
47: P1_INFO:position((0.66, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
48: P1_INFO:position((0.69, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
49: P1_INFO:position((0.71, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
50: P1_INFO:position((0.73, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
51: P1_INFO:position((0.75, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
52: P1_INFO:position((0.77, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
53: P1_INFO:position((0.80, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
54: P1_INFO:position((0.82, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
55: P1_INFO:position((0.84, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
56: P1_INFO:position((0.86, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
57: P1_INFO:position((0.88, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
58: P1_INFO:position((0.91, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
59: P1_INFO:position((0.93, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
60: P1_INFO:position((0.95, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
61: P1_INFO:position((0.97, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
62: P1_INFO:position((0.99, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
63: P1_INFO:position((1.02, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
64: P1_INFO:position((1.04, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
65: P1_INFO:position((1.06, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
66: P1_INFO:position((1.08, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
67: P1_INFO:position((1.10, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
68: P1_INFO:position((1.13, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
69: P1_INFO:position((1.15, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
70: P1_INFO:position((1.17, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
71: P1_INFO:position((1.19, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
72: P1_INFO:position((1.21, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
73: P1_INFO:position((1.24, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
74: P1_INFO:position((1.26, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
75: P1_INFO:position((1.28, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
76: P1_INFO:position((1.30, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
77: P1_INFO:position((1.32, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
78: P1_INFO:position((1.35, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
79: P1_INFO:position((1.37, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
80: P1_INFO:position((1.39, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
81: P1_INFO:position((1.41, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
82: P1_INFO:position((1.43, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
83: P1_INFO:position((1.46, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
84: P1_INFO:position((1.48, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
85: P1_INFO:position((1.50, 0.00))guardHealth(3)dead(False)currentAction:1)isInHitStun(False)
86: P1_INFO:position((1.53, 0.00))guardHealth(3)dead(False)currentAction:115)isInHitStun(False)
87: P1_INFO:position((1.56, 0.00))guardHealth(3)dead(False)currentAction:115)isInHitStun(False)
88: P1_INFO:position((1.59, 0.00))guardHealth(3)dead(False)currentAction:115)isInHitStun(False)
